PERGUNTAS,RESPOSTAS
"Professora Ana Carolina Figueiredo Modesto
","Graduada em Farmácia pela Faculdade de Farmácia/UFG. Especialista em Farmácia Hospitalar e Assistencial. Doutora em Ciências da Saúde e Mestre em Ensino na Saúde pela Faculdade de Medicina/UFG. Responsável pelo Serviço de Farmacovigilância do Setor de Gestão da Qualidade do Hospital das Clínicas da Universidade Federal de Goiás/EBSERH Orientadora no Programa de Pós-Graduação em Avaliação e Assistência à Saúde, da Faculdade de Farmácia da Universidade Federal de Goiás, nível Mestrado. Áreas de atuação: Segurança do Paciente; Farmacovigilância; Farmacoepidemiologia; Farmácia Clínica; Estudos de Coorte.
"
"Professor José Humberto Rodrigues dos Anjos
","Graduado em Letras, Português/Inglês e suas respectivas Literaturas pela Universidade Estadual de Goiás – UEG e em Pedagogia pela Faculdade Mantenense dos Vales Gerais – Intervale. Mestre em Estudos da Linguagem, pela Universidade Federal de Goiás – UFG. Doutor em Educação pela Universidade de Uberaba – UNIUBE. Possui experiência na área de Ensino de Literatura afro-brasileira, literatura produzida em Goiás e educação antirracista. Realizou estágio pós-doutoral no Programa de Pós-graduação em Estudos Literários da Universidade Estadual do Mato Grosso – UNEMAT, onde pesquisou o ensino de literatura afro-brasileira e africana na rede básica de educação. Atualmente é professor efetivo da Universidade Federal de Goiás – Campus Goiás no curso de Pedagogia, onde atua como coordenador da Especialização em Práticas Pedagógicas na Educação Básica, e no Núcleo de Estudos Afro-brasileiros e Indígenas – NEABI (DGP-CNPq). É docente colaborador do Programa de Pós-graduação Stricto Sensu (Mestrado Acadêmico) em Língua, Literatura e Interculturalidade POSLLI, da Universidade Estadual de Goiás – Campus Cora Coralina. Pesquisador associado à Associação Brasileira de Pesquisadores/as Negros/as – ABPN e da Associação Brasileira de Literatura Comparada – ABRALIC.
"
"Breno Delfino Amaral Freitas
","Advogado, inscrito na OAB-GO sob nº 49.533. Bacharel em Direito pela PUC Goiás (2016). Especialista em Direito Civil, Direito Processual Civil e Docência Universitária pela Escola Superior de Direito de Goiás (2018). Professor titular do curso de Direito do Centro Universitário de Inhumas (UNIMAIS). Mestre em Desenvolvimento e Planejamento Territorial pela PUC Goiás (2024). Na OAB-GO, é membro da Comissão Especial de Estudos Processuais e Comissão de Direito do Trabalho. Foi advogado-professor do Núcleo de Prática Jurídica do curso de Direito da PUC Goiás (2022-2024). Professor certificado pela Escola Superior da Advocacia de Goiás (ESA/OAB-GO). Professor do curso de Direito do Centro Universitário de Inhumas (UNIMAIS)"
"Virgínia Farias Alves
","Graduação em Farmácia pela Universidade Federal de Goiás (1996). Habilitação em Bioquímica pela Universidade Federal de Goiás (1997). Especialização em Microbiologia e em Citologia Clínica pela Universidade Federal de Goiás. Mestrado em Ciências Farmacêuticas pela Universidade de São Paulo (2003). Doutorado em Biociências Aplicadas à Farmácia pela Universidade de Ribeirão Preto (USP) (2005). Atua como docente permanente nos programas de pós graduação (PPG) em Assistência e Atenção à Saúde (PPGAAS) e Inovação Farmacêutica (PPGIF). É colaboradora em Ciências Farmacêuticas (PPGCF). Suas linhas de pesquisa são: Segurança dos alimentos e Ecologia microbiana em alimentos, com ênfase na busca de microrganismos com propriedades biotecnológicas pra aplicação em saúde humana e animal."
"Karla Emmanuela Ribeiro Hora
","Graduação em Arquitetura e Urbanismo pela Universidade Católica de Goiás – UCG (2001). Mestrado em Geografia pelo Instituto de Estudos Socioambiental da Universidade Federal de Goiás – IESA/UFG (2003). Doutorado em Meio Ambiente e Desenvolvimento pela Universidade Federal do Paraná – MADE / UFPR(2009). Atuou em funções de direção e técnica na administração pública municipal nas áreas de: planejamento urbano ambiental e saneamento ambiental. Exerceu a função de Diretora de Políticas para Mulheres no Ministério do Desenvolvimento Agrário (período de outubro/2012-março/2015) e de Diretora da Escola de Engenharia Civil e Ambiental (EECA) da UFG (período maio/2019 a maio/2023). É professora Associado, lotada na Escola de Engenharia Civil e Ambiental, da Universidade Federal de Goiás (EECA/UFG) e docente nos Programas de Pós Graduação Projeto e Cidade (PROCIDADES/FAV/UFG) e Ciências Ambientais (PPGCIAMB/UFG). Os temas recentes de pesquisa versam sobre: Planejamento Urbano e Ambiental; Agricultura Urbana e Periurbana; Tecnologias Sociais, Habitação Rural e Gênero; Gênero e Cidades; Conflitos socioambientais e o extrativismo agrário. Em outubro de 2024 foi indicada para vice-coordenadora do PPG Procidades/FAV.
"
"Ane Trento
","Graduação em Farmácia (UFG, 2004). Mestrado em Ciências Farmacêuticas (UFG, 2008). Aperfeiçoamento em Farmácia Clínica (Universidad de Chile, 2011). Especialização em Assistência Farmacêutica na Atenção Básica à Saúde (UFG, 2012). Capacitação em Serviços Clínicos (CFF, 2018). Especialização Profissional em Farmácia Clínica por Notório Saber (SBFC, 2024). Atualmente é professora do curso de especialização em Farmácia Clínica da Universidade Federal de Goiás e dos cursos Prescrever e Cuidado Farmacêutico promovidos pelo CFF. Coordenadora do Grupo de Trabalho em Serviços Clínicos do Conselho Regional de Farmácia de Goiás, membro do Gupo Técnico sobre Farmácia Clínica do Conselho Federal de Farmácia e Diretora de Formação da Sociedade Brasileira de Farmácia Clínica – Regional Goiás.
"
"Wagner Bandeira
","Graduação em Desenho Industrial pela Esdi/UERJ (2000). Mestrado em Design pela PUC/RJ (2006). Doutorado em Arte e Cultura Visual pela UFG (2017). Sua sólida formação acadêmica reflete sua dedicação ao ensino e à pesquisa. Atualmente, Wagner Bandeira é professor adjunto no Curso de Design Gráfico da Universidade Federal de Goiás, onde contribui para a formação de novos talentos. Diretor do Centro Integrado de Aprendizagem em Rede (CIAR/UFG), um núcleo estratégico que promove a inovação no uso de tecnologias educacionais.
Integra a equipe do Media Lab/UFG, laboratório reconhecido pela pesquisa em mídias interativas. Professor e pesquisador do Programa de Pós-graduação em Performances Culturais, onde amplia sua atuação para áreas que conectam design, arte e cultura. Sua pesquisa se concentra no campo do Desenho Industrial, com ênfase em Programação Visual onde explora temas como: Design de interface e experiência do usuário (UX); Design editorial; Tipografia; Identidade visual; Design acessível. Se destaca por desenvolver projetos voltados para educação a distância (EaD) e semiótica, promovendo soluções inovadoras e inclusivas. Com mais de duas décadas de experiência, Wagner Bandeira é referência em design, combinando teoria e prática em projetos que impactam tanto o meio acadêmico quanto o mercado profissional. Sua trajetória inspira estudantes e colegas, consolidando seu papel como um dos principais nomes do design contemporâneo no Brasil.
"
"Thaíla Corrêa Castral
","Bacharel em Enfermagem pela Escola de Enfermagem de Ribeirão Preto/USP (EERP/ USP) (2000-2004).Mestre em Enfermagem em Saúde Pública pela EERP/USP (2005-2007), sendo Bolsista FAPESP (processo n.05/52694-0). Doutora em Ciências pela EERP/USP (2007-2011), sendo Bolsista FAPESP (processo n.2007/05051-1). Doutorado sanduíche na University of British Columbia School of Nursing (2008-2009). Atualmente é Professora Associada da Faculdade de Enfermagem da Universidade Federal de Goiás (FEN/UFG), atuando na graduação e pós-graduação. Tem experiência profissional em Enfermagem Neonatal. Possui experiência em métodos experimentais, revisão sistemática, estudos de implementação. Trabalhou com mensuração de variáveis fisiológicas (frequência cardíaca e cortisol salivar) e codificação microanalítica comportamental. Foi trainee (2006-2011) do Pain in Child Health (PICH), programa de treinamento estratégico em dor pediátrica financiado pelo Canadian Institute of Health Research. Participa do Grupo de Pesquisa de Enfermagem no Cuidado à Criança e Adolescente (GPECCA) da EERP/USP, e do Grupo de Estudos em Saúde da Mulher, da Criança e do Adolescente (GESMAC) da FEN/UFG. Membro do Grupo de Interesse em Ciência de Disseminação e Implementação de Países de Língua Portuguesa. Temáticas de pesquisa: Manejo da dor neonatal; Amamentação e método canguru; Tradução do conhecimento; Ciência da implementação."
"Raquel Santiago
","Graduada em Nutrição pela Universidade Federal de Goiás (1994) e em Gastronomia pela Universidade Anhembi Morumbi (2015). Mestre em Ciências dos Alimentos pela Universidade de São Paulo (1998). Doutora em Saúde Pública pela Universidade de São Paulo (2002). Pós-Doutora em Ciências dos Alimentos pela Universidade de Londrina. Atualmente é professora Associada nível IV da Faculdade de Nutrição da Universidade Federal de Goiás (FANUT- UFG). Coordena projetos em Alimentos, Biodiversidade, e Saúde Humana e o Centro de Ciência Culinárias da FANUT – UFG. Atualmente coordena o Sustentarea UFG. Membro do Grupo de Estudos em Saúde Planetária (IEA/USP), do LatinFoods e da Planetary Health Alliance. Coordenadora da Hub Latino-americano de Saúde Planetária. Tem experiência na áreas: Dietética, Ciência Culinária; Ciência dos Alimentos; Desenvolvimento de produtos; Biodiversidade Brasileira; Uso de subprodutos para Alimentação e Nutrição."
"Vanessa Gisele Pasqualotto Severino
","Graduada em Química (Bacharelado com Atribuições Tecnológicas) pela Universidade Federal de São Carlos. Mestre e doutora em Química Orgânica (Química de Produtos Naturais) pela UFSCAR. A quase 20 anos desenvolve pesquisa com plantas medicinais, na busca por compostos com potencial biológico. Atua como orientadora de estudantes de extensão, Iniciação Científica, mestrado e doutorado no Programa de Pós-Graduação em Química da UFG. Orientadora de estudantes de extensão, Iniciação Científica, mestrado e doutorado no Programa de Pós-Graduação em Química da mesma instituição. Supervisiona uma pesquisadora da EMATER em estágio pós-doutorado. Associada efetiva da SBQ desde 2005. Tesoureira (gestão 2020-2022) e diretora (gestão 2022-2024) da Divisão de Produtos Naturais da Sociedade Brasileira de Química. Participou ativamente do Núcleo Mulheres da SBQ no período de 2020 a 2024, integrando a comissão de eventos. Associada à Sociedade Brasileira para o Progresso da Ciência (SBPC) e exerce a função de Secretária desta instituição, representando a Regional Goiás. É apaixonada por projetos de pesquisa que contemplem a extensão universitária, colaborando com diversas comunidades tradicionais presentes no Cerrado com foco na promoção da bioeconomia e na utilização sustentável dos recursos naturais.
"
